index,Feature,mean,min,25%,50%,75%,max
9,x_coord,-0.0153,-0.3033,-0.0768,-0.0121,0.0486,0.9490
11,0418_nmean,0.0333,-0.6484,-0.1059,0.0449,0.1154,0.8675
10,y_coord,0.0060,-0.3259,-0.0383,0.0018,0.0517,0.6866
0,18_POPDEN,0.0091,-0.2852,-0.0060,0.0093,0.0235,0.4966
8,18_QNOBD,-0.0100,-0.2995,-0.0309,-0.0062,0.0162,0.2121
3,18_QHISP,0.0021,-0.1192,-0.0219,0.0069,0.0208,0.1346
1,18_QWHITE,-0.0027,-0.1982,-0.0108,-0.0026,0.0065,0.1184
2,18_QBLACK,0.0057,-0.0663,-0.0042,0.0032,0.0110,0.1123
5,18_QUNEMPL,0.0001,-0.1111,-0.0143,-0.0007,0.0174,0.0996
4,18_QAGED65,0.0007,-0.0956,-0.0029,0.0007,0.0041,0.0968
6,18_QPOVTY,0.0000,-0.0533,-0.0029,-0.0013,0.0038,0.0721
7,18_QESL,0.0019,-0.1145,-0.0011,0.0023,0.0059,0.0668
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
